variable_id,mz,rt,X20210902_neg04,X20210902_neg05,X20210902_neg06,X20210902_neg07,X20210902_neg08,X20210902_neg09,X20210902_neg10,X20210902_neg11,X20210902_neg13,X20210902_neg14,X20210902_neg26,X20210902_neg27,X20210902_neg28,X20210902_neg29,X20210902_neg31,X20210902_neg32,X20210902_neg33,X20210902_neg34,X20210902_neg35,X20210902_neg36,X20210902_neg15,X20210902_neg16,X20210902_neg17,X20210902_neg18,X20210902_neg19,X20210902_neg20,X20210902_neg22,X20210902_neg23,X20210902_neg24,X20210902_neg25,X20210902_neg03,X20210902_neg12,X20210902_neg21,X20210902_neg30,X20210902_neg37,X20210902_neg38
M74T229_NEG,74.0073013305664,228.57899665829999,NA,NA,NA,NA,NA,4390.450801886555,3037.7393016757337,3303.800539077672,3002.423135222553,3287.204902999517,NA,NA,NA,NA,NA,NA,4179.621742694226,2591.9311783360067,NA,NA,NA,2635.3052553545226,NA,1997.1458420383212,NA,4908.601970659113,5490.578799232648,5369.055588352509,4658.071954284414,NA,4002.9389393376214,3586.6169915487635,4639.779610673178,4184.196453082979,4246.911407493918,4585.135572554572
M88T115_NEG,88.0407485961914,114.7920012474,NA,NA,NA,NA,NA,NA,24111.332752792023,25170.538586866875,22151.66101849267,23532.030293622425,NA,NA,NA,NA,NA,35174.02674550549,36272.52674074083,31360.479433037486,41224.93859448141,37265.79872151718,42485.777260058894,50446.04401847694,NA,53571.27820978184,56375.903610650355,28062.50153851509,30728.750503138894,29869.90502839639,32069.845316727617,31372.885282992487,24608.399085849323,NA,32011.070821297864,43142.9322706804,40083.34885299539,41873.601853647386
M100T631_NEG,99.92588806152344,631.3885116577201,593631.0517463782,517818.53941461403,1167716.432644932,1171285.7741028087,442475.9735268892,318471.0827774311,409876.34794176364,265428.7884517817,187667.07171349262,158185.9924510823,NA,15480.901674080436,15823.06760790388,NA,16838.549178060643,14426.392757169837,NA,12532.038191850252,11534.758629762237,13341.285948300638,127620.66158332069,132279.70221342563,91081.83119202414,73040.48198104967,69201.86870105157,59339.02754606845,29357.687683823915,28944.07288907268,25075.423004069235,21005.63887017127,1531714.6879870105,254248.91214811374,38334.378580710436,NA,NA,NA
M101T626_NEG,100.93329620361328,626.0234928131099,841180.1772023415,880859.2445461282,1000825.3690494295,763469.7623284088,727239.3341013883,844798.3335868929,588910.004066022,432257.5280924679,251862.87727113342,185854.0218648418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1084505.3666495134,310690.8370594498,NA,NA,NA,NA
M101T106_NEG,101.02381896972656,105.51799893378,NA,NA,NA,NA,NA,NA,11597.73860576073,10862.208051312276,9857.073614491954,NA,NA,NA,NA,NA,NA,NA,10821.107350382883,NA,8324.059591308158,NA,4177.649236327712,3588.3806894422296,NA,NA,7750.108748610958,6106.590377591335,NA,7226.438426975028,5843.967463606381,NA,NA,7496.496115888349,NA,12793.248676939582,NA,10236.930418720847
M107T171_NEG,107.04998779296875,171.26250028608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19074.242664080743,NA,4231.55877114766,NA,2985.7622173547315,3988.477862811332
M113T16_NEG,112.96765899658203,15.855000615120002,NA,NA,36002.279865706776,38364.97650616875,39003.201146476524,NA,NA,NA,NA,NA,44915.49235097952,46641.723919974596,50189.41447262911,47424.39711976256,51223.30766921086,NA,27127.443170732142,26816.06970365417,NA,NA,NA,24809.97023176736,38960.11244306561,NA,25651.536737142855,NA,NA,NA,21282.55963769003,19962.748859190106,NA,NA,NA,24607.646753930687,NA,NA
M115T15_NEG,114.96973419189453,14.91200029848,2477.3170600940857,NA,NA,NA,NA,9257.693462090143,7623.630595571261,NA,6794.831247895745,8434.998975386976,NA,NA,NA,NA,NA,9699.664885031038,9047.682776030468,NA,NA,NA,8467.107667480588,8363.355651949469,5708.547559926601,NA,NA,11770.976970802269,11057.402543924802,12333.536151225031,NA,NA,NA,9154.238940695252,NA,NA,9055.557671532775,NA
M115T74_NEG,115.03999328613281,74.47699785234,NA,NA,NA,NA,NA,10012.724373323408,7474.276300331977,NA,NA,6003.243051558575,NA,NA,NA,NA,NA,5570.923280420004,4721.264595822994,NA,NA,NA,NA,4246.042000928539,NA,NA,NA,10368.84868700893,6948.233795204017,NA,6100.219488094006,7410.202500138504,18129.316475660085,NA,9140.653444696074,NA,6645.767250017183,NA
M116T626_NEG,115.9200439453125,626.2850189209199,977004.1059066459,803055.7349158396,708636.6400779809,929675.5521006869,761990.5884963137,634751.6856354559,784886.6387928256,688258.8992819889,408080.60116539063,435008.2901359959,131085.90692361954,132570.18619099926,79723.6019857083,NA,NA,NA,NA,NA,27062.595587252898,NA,242078.06774473444,242639.25673694647,175338.07736023015,166857.76501177234,258979.52249900994,276172.81285413424,89736.19204163917,104760.81072371088,108316.42265916905,NA,937554.9775072851,513960.38783548016,138613.49141710045,NA,NA,62612.446089177596
