variable_id,mz,rt,bl20210902_10,bl20210902_11,bl20210902_13,bl20210902_14,bl20210902_26,bl20210902_27,bl20210902_29,bl20210902_30,bl20210902_31,bl20210902_32,bl20210902_33,bl20210902_34,bl20210902_35,bl20210902_36,bl20210902_4,bl20210902_5,bl20210902_6,bl20210902_7,bl20210902_8,bl20210902_9,bl20210902_15,bl20210902_16,bl20210902_17,bl20210902_18,bl20210902_19,bl20210902_20,bl20210902_22,bl20210902_23,bl20210902_24,bl20210902_25,bl20210902_12,bl20210902_21,bl20210902_28,bl20210902_3,bl20210902_37,bl20210902_38
M86T44_POS,86.0985221862793,44.03080940246582,NA,NA,NA,40102.612533284606,17257.566212737755,21964.57465547113,NA,NA,NA,NA,NA,NA,NA,NA,NA,23585.12136932662,19508.517372554805,NA,NA,49814.503853365735,34291.031447349604,NA,NA,NA,NA,NA,NA,NA,16600.80282625433,NA,NA,51923.644152707595,11979.331795115084,31559.153349451222,20245.050355411884,NA
M90T638_POS,89.506744384765625,637.6756591796875,NA,97680.85210216606,79348.21727546173,NA,NA,NA,109438.27773030255,NA,NA,41059.469839304016,NA,NA,NA,NA,132241.27127960394,NA,130410.92136959506,NA,NA,NA,90691.67777029461,NA,NA,NA,57260.48396700415,NA,NA,NA,NA,NA,67361.39744561863,NA,48357.94719230866,156489.61486783915,NA,34818.53930326896
M91T631_POS,90.50658416748047,631.38739013671875,108213.32940592545,55476.38222567769,35163.17630249607,39164.333656114715,NA,41860.40690259581,55937.15398569035,91617.65108267771,NA,59023.342018058625,90382.78834292763,NA,50213.2870722328,42313.00066475345,57286.096814232136,NA,52367.85463633731,111598.25908931156,NA,96973.00126164258,51302.107970367666,NA,NA,37313.087031260584,54670.408904143485,66843.0198970257,51506.53593068522,47337.270827340886,36535.622581038944,NA,34757.56248403543,45387.58512474197,83757.08511023477,99031.76380170361,NA,48439.25311497888
M91T36_POS,91.06031799316406,36.23920822143555,6744.82229157271,6908.221598788583,NA,5819.966783530984,NA,NA,NA,12166.797551111506,NA,6883.93257682794,6388.2168447301965,NA,NA,5035.621096689707,NA,NA,NA,NA,NA,8776.165409423578,NA,4347.636254956755,NA,NA,NA,5162.055313874732,8483.139657528169,6563.6629628692845,NA,NA,9745.421911560006,NA,NA,10522.737691309401,12838.132410475146,NA
M91T319_POS,91.0525131225586,319.0306091308594,25645.604546163064,NA,25634.37984674343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6203.205499669879,7330.271757258152,NA,5523.990259153388,5626.226929845487,24566.609028322768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18133.883249220315,15988.842177703002,NA,NA,12762.629879603308,15142.511272439244
M92T631_POS,91.50413513183594,631.1648864746094,32176.39648783666,NA,NA,NA,NA,14135.260246646567,NA,26926.887486046307,NA,19814.868363129808,20470.60461424641,11253.118939994878,10932.165018461383,NA,18838.78538141163,NA,NA,22681.85090470289,NA,NA,12499.708983128114,NA,NA,NA,NA,21004.697993380592,12957.204934883272,14994.447164972536,12226.008796762024,NA,NA,12339.580774829315,21376.283966819785,25866.28791037771,NA,11705.445891192361
M95T36_POS,95.05560302734375,36.19436264038086,NA,NA,NA,NA,NA,NA,NA,11512.383249489756,NA,NA,7440.85488246315,NA,11022.159435167083,NA,NA,NA,NA,NA,NA,10019.302409388036,NA,3427.153084878525,NA,NA,NA,NA,NA,5638.134440627111,7486.860251932059,6807.605140856728,7757.5045552041465,11919.531194684616,NA,10888.858553781096,13658.446658326742,11304.173396365577
M97T633_POS,96.96044158935547,632.6460266113281,128248.16066145358,171880.85002925072,172852.0965693999,157289.56653405048,121838.74462039767,NA,195409.16440025356,120945.83653379948,100557.657337464,134450.84685444747,112803.77603546313,NA,151581.59404451697,173328.35513594263,137856.4309258817,NA,113288.1240016888,226992.01952191757,254836.66460911316,202796.29292258443,117545.489466302,NA,NA,90871.20208722874,NA,109773.46732995239,122536.14246388285,102548.202279537,116821.29309875601,NA,188854.4285801201,48835.11381694874,147528.55501705274,215722.30173618445,NA,216667.61168307255
M99T630_POS,98.96150970458984,629.575439453125,NA,83679.5021618677,59993.5125020468,64884.549110565116,66317.49761207978,69238.31310873387,107278.95257121552,NA,104288.92760239511,NA,114675.87289843425,102444.70232358201,NA,59349.13801818202,NA,108378.75415275911,166367.6059804965,187895.004714701,197458.906439628,200972.49665728735,74688.7474024357,25030.911205175948,26182.916026602306,NA,NA,NA,54208.98457385204,NA,NA,62954.78275681063,48684.04008166638,113185.38989009989,105677.95511147939,200742.34315307965,57183.27209469471,35448.51553814289
M101T629_POS,100.95629119873047,629.3650207519531,NA,27174.73728034716,NA,18642.027639442807,NA,23942.348953233733,34238.12871384566,NA,NA,30346.22260538595,38846.820015699355,26061.314849757968,18258.349303034716,14827.373778401652,NA,NA,47700.51657072635,60407.191935534225,61485.0585660087,60703.995681728884,22979.934230208288,6501.010181182232,NA,13539.286108596138,24454.84025316566,34241.530888892,22806.096281061386,18650.77302040197,16891.910136963976,NA,16925.654382022207,NA,38267.380397610184,68374.69489880568,NA,NA
