"sample_id","injection.order","class","group"
"bl20210902_3",1,"QC","QC"
"bl20210902_4",2,"Subject","Case"
"bl20210902_5",3,"Subject","Case"
"bl20210902_6",4,"Subject","Case"
"bl20210902_7",5,"Subject","Case"
"bl20210902_8",6,"Subject","Case"
"bl20210902_9",7,"Subject","Case"
"bl20210902_10",8,"Subject","Case"
"bl20210902_11",9,"Subject","Case"
"bl20210902_12",10,"QC","QC"
"bl20210902_13",11,"Subject","Case"
"bl20210902_14",12,"Subject","Case"
"bl20210902_15",13,"Subject","Control"
"bl20210902_16",14,"Subject","Control"
"bl20210902_17",15,"Subject","Control"
"bl20210902_18",16,"Subject","Control"
"bl20210902_19",17,"Subject","Control"
"bl20210902_20",18,"Subject","Control"
"bl20210902_21",19,"QC","QC"
"bl20210902_22",20,"Subject","Control"
"bl20210902_23",21,"Subject","Control"
"bl20210902_24",22,"Subject","Control"
"bl20210902_25",23,"Subject","Control"
"bl20210902_26",24,"Subject","Case"
"bl20210902_27",25,"Subject","Case"
"bl20210902_28",26,"Subject","Case"
"bl20210902_29",27,"Subject","Case"
"bl20210902_30",28,"QC","QC"
"bl20210902_31",29,"Subject","Case"
"bl20210902_32",30,"Subject","Case"
"bl20210902_33",31,"Subject","Case"
"bl20210902_34",32,"Subject","Case"
"bl20210902_35",33,"Subject","Case"
"bl20210902_36",34,"Subject","Case"
"bl20210902_37",35,"QC","QC"
"bl20210902_38",36,"QC","QC"
